id	type	metaType	count
0	NameLoad	Other	2805634
1	Constant	Other	1933713
2	Call	Other	1161405
3	NameStore	Other	764521
4	body	Other	731267
5	Assign	Other	728707
6	Expr	Expr	453005
7	BoolOpAnd	Other	449477
8	attr	Other	446035
9	AttributeLoad	Other	387728
10	arg	Other	303174
11	If	Other	295627
12	decorator_list	Other	258430
13	CompareEq	Other	251811
14	FunctionDef	Other	244914
15	defaults	Other	244914
16	arguments	Other	244914
17	args	Other	244914
18	SubscriptLoad	Other	230761
19	Return	Other	224830
20	TupleLoad	Other	221296
21	orelse	Other	159436
22	BinOpAdd	Other	115939
23	For	Other	96461
24	While	Other	76924
25	ListLoad	Other	64790
26	AttributeStore	Other	58307
27	UnaryOpNot	Other	43833
28	SubscriptStore	Other	39295
29	CompareNotEq	Other	36175
30	Dict	Other	33145
31	BoolOpOr	Other	31674
32	BinOpSub	Other	28361
33	CompareGt	Other	26649
34	keyword	Other	26502
35	Module	Other	25663
36	alias	Other	24127
37	AugAssignAdd	Other	24001
38	Import	Other	23950
39	CompareLt	Other	23628
40	CompareIn	Other	20335
41	CompareLtE	Other	18733
42	CompareIs	Other	15673
43	CompareNotIn	Other	15241
44	BinOpMult	Other	14765
45	Pass	Other	14391
46	ClassDef	Other	13516
47	bases	Other	13516
48	UnaryOpUSub	Other	10396
49	BinOpMod	Other	10359
50	Break	Other	8052
51	comprehension	Other	7846
52	GeneratorExp	Other	6867
53	CompareGtE	Other	5598
54	TupleStore	Other	3816
55	BinOpDiv	Other	1869
56	ExceptHandler	Other	1867
57	finalbody	Other	1857
58	handlers	Other	1857
59	Try	Other	1857
60	type	Other	1762
61	FormattedValue	Other	1456
62	JoinedStr	Other	1133
63	Continue	Other	1027
64	Slice	Other	883
65	ListComp	Other	618
66	IfExp	Other	368
67	Set	Other	359
68	CompareIsNot	Other	339
69	AugAssignSub	Other	280
70	UnaryOpUAdd	Other	259
71	BinOpFloorDiv	Other	250
72	DictComp	Other	221
73	Raise	Other	197
74	ImportFrom	Other	166
75	With	Other	101
76	list	Other	101
77	withitem	Other	101
78	identifier	Other	56
79	Global	Other	49
80	BinOpBitAnd	Other	36
81	Delete	Other	26
82	BinOpBitOr	Other	25
83	NameDel	Other	16
84	StarredLoad	Other	13
85	SubscriptDel	Other	10
86	ListStore	Other	9
87	BinOpPow	Other	9
88	AnnAssign	Other	1
